CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-00001,مشروع آل معيض and Sons,فاطمة علي,API,إضافة نظام مراقبة الأداء في الوقت الفعلي,06/08/2025,Needs Review,High,خديجة المطيري,7 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Security,NO,,User Management System,10,1,1.3,NO,YES,High,High,0.673,1
CR-00002,مشروع آل خضير Ltd,خديجة المطيري,Backend,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,20/04/2025,In Progress,Low,ليلى سعيد,29 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Resources,NO,,Cache Server,5,1,7.8,YES,NO,Low,High,0.468,0
CR-00003,"مشروع الراشد, آل بن ظافر and آل العسكري",فاطمة علي,Analytics,إضافة ميزة التصفية المتقدمة في نظام البحث العام,05/04/2025,Approved,High,علي المالكي,4 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,11/04/2025,Backup System,10,6,6.4,NO,NO,Medium,Medium,0.265,0
CR-00004,مشروع آل عواض PLC,خديجة المطيري,Analytics,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,07/03/2025,Open,High,أسماء الغامدي,6 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,NO,,Load Balancer,5,2,1.4,NO,NO,High,Medium,0.492,1
CR-00005,"مشروع آل عطفة, فصيل and المهنا",عائشة الزهراني,Infrastructure,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,23/04/2025,Approved,Medium,عائشة الزهراني,8 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,NO,07/05/2025,Authentication Service,10,5,7.3,YES,YES,Low,Low,0.383,0
CR-00006,مشروع Cole LLC,عبدالرحمن الحربي,Monitoring,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,17/08/2025,Open,Low,حسان الراشد,29 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Scope,YES,,Authentication Service,23,6,8.6,NO,NO,High,Medium,0.06,0
CR-00007,مشروع الراشد LLC,عبدالعزيز الدوسري,Backend,إصلاح مشكلة في عرض التقارير المالية,10/03/2025,Needs Review,Critical,محمد الأحمد,2 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Compliance,NO,,Payment Gateway,7,7,9.0,NO,YES,Medium,Medium,0.88,1
CR-00008,مشروع Lewis LLC,حسان الراشد,Documentation,تحديث بروتوكولات الأمان للشبكة الداخلية,07/08/2025,Needs Review,High,عبدالعزيز الدوسري,4 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,,Web Server,6,6,3.0,NO,NO,Medium,Low,0.174,0
CR-00009,مشروع الحكير Inc,زينب القرشي,Mobile,إضافة ميزة التصدير إلى ملفات Excel و PDF,31/03/2025,Approved,Critical,عمر حسان,1 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,YES,02/04/2025,CDN Service,1,10,10.0,NO,YES,Medium,Low,0.446,1
CR-00010,مشروع Munoz-Roman,خديجة المطيري,Infrastructure,إضافة ميزة البحث الصوتي في التطبيق,09/07/2025,Open,High,حسان الراشد,2 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Performance,NO,,Search Engine,23,2,3.6,YES,NO,High,Low,1.0,1
